Type	FSWP-26
Version	3.01
Date	23.May 2025
VSupply	ON
Mode	Voltage
3.6062602997	-56.6290702820
3.6187500954	-56.7067871094
3.6312828064	-56.7855987549
3.6438591480	-56.7855987549
3.6564791203	-56.7855987549
3.6691424847	-56.7855987549
3.6818499565	-56.7855987549
3.6946012974	-56.7855987549
3.7073969841	-56.9280433655
3.7202367783	-56.9867172241
3.7331211567	-57.1443176270
3.7460501194	-57.1522178650
3.7590239048	-57.3412055969
3.7720425129	-57.3412055969
3.7851064205	-57.3412055969
3.7982153893	-57.3412055969
3.8113698959	-57.3412055969
3.8245697021	-57.3412055969
3.8378155231	-57.3412055969
3.8511071205	-57.3412055969
3.8644447327	-57.3412055969
3.8778283596	-57.3412055969
3.8912587166	-57.3412055969
3.9047353268	-57.3412055969
3.9182586670	-57.3412055969
3.9318287373	-57.3412055969
3.9454460144	-57.3412055969
3.9591102600	-57.3412055969
3.9728219509	-57.3412055969
3.9865810871	-57.3412055969
4.0003876686	-57.3412055969
4.0142426491	-57.3412055969
4.0281448364	-57.3412055969
4.0420956612	-57.3412055969
4.0560946465	-57.3412055969
4.0701422691	-57.3412055969
4.0842385292	-57.2583236694
4.0983834267	-57.3004608154
4.1125774384	-57.3412055969
4.1268205643	-57.3881721497
4.1411132813	-57.4514427185
4.1554551125	-57.4986686707
4.1698470116	-57.4986686707
4.1842885017	-57.4986686707
4.1987800598	-57.4986686707
4.2133216858	-57.4986686707
4.2279138565	-57.4986686707
4.2425560951	-57.4986686707
4.2572493553	-57.4986686707
4.2719936371	-57.4986686707
4.2867889404	-57.4514427185
4.3016357422	-57.3881721497
4.3165335655	-57.3522758484
4.3314828873	-57.3087310791
4.3464841843	-57.3004608154
4.3615374565	-57.2717895508
4.3766427040	-57.2583236694
4.3918004036	-57.1859664917
4.4070110321	-57.1859664917
4.4222736359	-57.1859664917
4.4375896454	-57.2583236694
4.4529581070	-57.2717895508
4.4683809280	-57.2991256714
4.4838562012	-57.3004608154
4.4993853569	-57.3087310791
4.5149679184	-57.3522758484
4.5306048393	-57.3881721497
4.5462956429	-57.4514427185
4.5620408058	-57.4514427185
4.5778408051	-57.4514427185
4.5936951637	-57.4514427185
4.6096048355	-57.4514427185
4.6255693436	-57.3522758484
4.6415891647	-57.3445243835
4.6576642990	-57.3445243835
4.6737952232	-57.3445243835
4.6899819374	-57.3445243835
4.7062249184	-57.3087310791
4.7225241661	-57.3004608154
4.7388796806	-57.2991256714
4.7552919388	-57.2717895508
4.7717609406	-57.2717895508
4.7882871628	-57.2717895508
4.8048706055	-57.2991256714
4.8215112686	-57.2991256714
4.8382096291	-57.2991256714
4.8549661636	-57.2717895508
4.8717803955	-57.2672576904
4.8886528015	-57.2594833374
4.9055838585	-57.2591094971
4.9225735664	-57.2591094971
4.9396219254	-57.2591094971
4.9567294121	-57.1859664917
4.9738960266	-57.1795043945
4.9911222458	-57.1795043945
5.0084080696	-57.2085266113
5.0257534981	-57.2591094971
5.0431594849	-57.2594833374
5.0606255531	-57.2672576904
5.0781521797	-57.2946701050
5.0957393646	-57.2991256714
5.1133875847	-57.2991256714
5.1310968399	-57.2991256714
5.1488671303	-57.2991256714
5.1666994095	-57.2991256714
5.1845936775	-57.2946701050
5.2025494576	-57.2672576904
5.2205672264	-57.2672576904
5.2386479378	-57.2672576904
5.2567911148	-57.2672576904
5.2749967575	-57.2672576904
5.2932658195	-57.2672576904
5.3115983009	-57.2672576904
5.3299937248	-57.2672576904
5.3484535217	-57.2672576904
5.3669767380	-57.2946701050
5.3855643272	-57.3445243835
5.4042162895	-57.3914985657
5.4229326248	-57.3998565674
5.4417138100	-57.4136581421
5.4605603218	-57.4167938232
5.4794721603	-57.4394111633
5.4984493256	-57.5152816772
5.5174922943	-57.5353927612
5.5366010666	-57.6425132751
5.5557761192	-57.6425132751
5.5750174522	-57.6425132751
5.5943255424	-57.6425132751
5.6137003899	-57.6425132751
5.6331429482	-57.6425132751
5.6526522636	-57.6425132751
5.6722292900	-57.6425132751
5.6918740273	-57.8688240051
5.7115869522	-57.8837852478
5.7313680649	-57.9681320190
5.7512173653	-57.9804992676
5.7711358070	-57.9914283752
5.7911229134	-58.0526771545
5.8111796379	-58.0526771545
5.8313055038	-58.0526771545
5.8515009880	-58.0526771545
5.8717665672	-58.0526771545
5.8921022415	-58.0526771545
5.9125084877	-58.0526771545
5.9329853058	-57.9914283752
5.9535331726	-57.9914283752
5.9741520882	-57.9914283752
5.9948425293	-58.0639572144
6.0156044960	-58.2905158997
6.0364384651	-58.3125534058
6.0573449135	-58.3779296875
6.0783233643	-58.3858985901
6.0993742943	-58.3858985901
6.1204986572	-58.3858985901
6.1416954994	-58.3858985901
6.1629662514	-58.4336547852
6.1843104362	-58.4336547852
6.2057290077	-58.4336547852
6.2272214890	-58.4336547852
6.2487878799	-58.3858985901
6.2704296112	-58.3858985901
6.2921462059	-58.3858985901
