Type	FSWP-26
Version	3.01
Date	17.Jun 2025
VSupply	ON
Mode	Voltage
3.8511071205	-92.6919631958
3.8644447327	-92.9095382690
3.8778283596	-92.8702926636
3.8912587166	-92.6351852417
3.9047353268	-92.3662185669
3.9182586670	-92.1449890137
3.9318287373	-92.0237731934
3.9454460144	-92.0261306763
3.9591102600	-92.1499252319
3.9728219509	-92.3757858276
3.9865810871	-92.6554260254
4.0003876686	-92.9366760254
4.0142426491	-93.1811447144
4.0281448364	-93.3511428833
4.0420956612	-93.4138946533
4.0560946465	-93.3521118164
4.0701422691	-93.1793060303
4.0842385292	-92.9496459961
4.0983834267	-92.7403106689
4.1125774384	-92.5804367065
4.1268205643	-92.4584503174
4.1411132813	-92.3475418091
4.1554551125	-92.2293014526
4.1698470116	-92.1074295044
4.1842885017	-92.0042572021
4.1987800598	-91.9411239624
4.2133216858	-91.9156494141
4.2279138565	-91.8947830200
4.2425560951	-91.8375473022
4.2572493553	-91.7604217529
4.2719936371	-91.7265853882
4.2867889404	-91.8008956909
4.3016357422	-92.0040740967
4.3165335655	-92.2884368896
4.3314828873	-92.5512237549
4.3464841843	-92.6940536499
4.3615374565	-92.6936340332
4.3766427040	-92.6176376343
4.3918004036	-92.5642395020
4.4070110321	-92.5825500488
4.4222736359	-92.6409378052
4.4375896454	-92.6615066528
4.4529581070	-92.6010131836
4.4683809280	-92.5103988647
4.4838562012	-92.5014190674
4.4993853569	-92.6575164795
4.5149679184	-92.9735183716
4.5306048393	-93.3492431641
4.5462956429	-93.6412506104
4.5620408058	-93.7665710449
4.5778408051	-93.7694396973
4.5936951637	-93.7698898315
4.6096048355	-93.8666076660
4.6255693436	-94.0962982178
4.6415891647	-94.4104309082
4.6576642990	-94.6744766235
4.6737952232	-94.7072677612
4.6899819374	-94.4160079956
4.7062249184	-93.9007339478
4.7225241661	-93.3645477295
4.7388796806	-92.9614715576
4.7552919388	-92.7449798584
4.7717609406	-92.6947784424
4.7882871628	-92.7640686035
4.8048706055	-92.9183197021
4.8215112686	-93.1458435059
4.8382096291	-93.4372253418
4.8549661636	-93.7557754517
4.8717803955	-94.1009292603
4.8886528015	-94.1501541138
4.9055838585	-93.9699020386
4.9225735664	-93.6789016724
4.9396219254	-93.3276367188
4.9567294121	-92.9783935547
4.9738960266	-92.7164306641
4.9911222458	-92.6329193115
5.0084080696	-92.7868499756
5.0257534981	-93.1676254272
5.0431594849	-93.6695404053
5.0606255531	-94.1074981689
5.0781521797	-94.3285064697
5.0957393646	-94.2655410767
5.1133875847	-94.2237167358
5.1310968399	-94.1609420776
5.1488671303	-93.9492950439
5.1666994095	-93.5378875732
5.1845936775	-93.0268707275
5.2025494576	-92.5684356689
5.2205672264	-92.1844863892
5.2386479378	-92.1055755615
5.2567911148	-92.1884689331
5.2749967575	-92.3191146851
5.2932658195	-92.4807662964
5.3115983009	-92.6908721924
5.3299937248	-92.9839859009
5.3484535217	-93.5823516846
5.3669767380	-94.1288757324
5.3855643272	-94.1681671143
5.4042162895	-93.8612213135
5.4229326248	-93.3559112549
5.4417138100	-92.8731536865
5.4605603218	-92.5088958740
5.4794721603	-92.5509948730
5.4984493256	-92.7826919556
5.5174922943	-93.0966949463
5.5366010666	-93.4365234375
5.5557761192	-93.8529129028
5.5750174522	-94.0783004761
5.5943255424	-94.1124801636
5.6137003899	-94.1218185425
5.6331429482	-94.1105346680
5.6526522636	-93.9494247437
5.6722292900	-93.7123336792
5.6918740273	-93.4902267456
5.7115869522	-93.4016189575
5.7313680649	-93.5456848145
5.7512173653	-93.6587524414
5.7711358070	-93.4909973145
5.7911229134	-93.1564941406
5.8111796379	-92.6661529541
5.8313055038	-92.4717864990
5.8515009880	-92.6218032837
5.8717665672	-93.1907653809
5.8921022415	-93.8269805908
5.9125084877	-94.0508193970
5.9329853058	-94.1168136597
5.9535331726	-94.2620315552
5.9741520882	-94.6465072632
5.9948425293	-94.9390640259
6.0156044960	-95.0246734619
6.0364384651	-94.7106475830
6.0573449135	-94.3840408325
6.0783233643	-93.9896926880
6.0993742943	-93.7961120605
6.1204986572	-93.8085174561
6.1416954994	-93.9779891968
6.1629662514	-94.1531906128
6.1843104362	-94.1246337891
6.2057290077	-93.8050231934
6.2272214890	-93.4777984619
6.2487878799	-93.4190750122
6.2704296112	-93.5423660278
6.2921462059	-93.7091217041
6.3139376640	-93.8374099731
6.3358049393	-94.2681198120
6.3577480316	-95.0559921265
6.3797669411	-95.9504394531
6.4018621445	-96.3335342407
6.4240336418	-96.0011901855
6.4462819099	-95.0848617554
